date,ticker,open,high,low,close,volume
2000-01-03,VRSN,172.38,174.93,154.33,161.44,2270100
2000-01-04,VRSN,154.55,169.62,152.85,159.96,3002200
2000-01-05,VRSN,156.24,157.09,130.24,151.15,6886600
2000-01-06,VRSN,149.77,153.7,129.92,131.72,4003200
2000-01-07,VRSN,130.34,148.5,125.62,144.21,3803200
2000-01-10,VRSN,158.9,161.55,151.68,154.33,2829000
2000-01-11,VRSN,153.01,155.39,140.43,140.8,3086900
2000-01-12,VRSN,143.08,144.36,132.57,136.22,2698100
2000-01-13,VRSN,137.56,149.66,137.14,149.45,2367500
2000-01-14,VRSN,153.06,156.24,146.69,155.77,2871400
2000-01-18,VRSN,159.64,171.53,158.05,167.18,3296500
2000-01-19,VRSN,169.41,175.03,164.1,165.69,2001900
2000-01-20,VRSN,170.36,181.4,167.92,177.47,3311100
2000-01-21,VRSN,181.61,181.61,161.02,176.57,3977200
2000-01-24,VRSN,180.02,182.83,162.61,166.38,3228500
2000-01-25,VRSN,169.51,169.83,155.39,167.18,2458600
2000-01-26,VRSN,163.89,164.63,158.9,161.18,1544400
2000-01-27,VRSN,163.14,164.42,146.9,148.61,2134400
2000-01-28,VRSN,144.62,155.34,135.86,139.66,2609400
2000-01-31,VRSN,139.37,139.63,124.51,137.03,3986600
2000-02-01,VRSN,137.93,147.01,131.94,143.88,2572100
2000-02-02,VRSN,144.99,154.97,141.07,148.65,2698300
2000-02-03,VRSN,152.21,159.38,149.98,154.97,2426800
2000-02-04,VRSN,158.58,165.8,154.97,160.44,1921000
2000-02-07,VRSN,160.38,160.38,153.27,155.02,1960100
2000-02-08,VRSN,156.88,161.76,156.24,160.86,1791800
2000-02-09,VRSN,161.07,170.57,157.73,165.43,3379700
2000-02-10,VRSN,168.98,189.36,168.18,186.6,5188600
2000-02-11,VRSN,188.51,188.52,169.83,177.47,3005700
2000-02-14,VRSN,177.47,177.47,169.83,171.1,2080100
2000-02-15,VRSN,171.53,186.12,165.37,185.54,2677700
2000-02-16,VRSN,182.57,195.3,182.36,187.44,2465700
2000-02-17,VRSN,188.74,195.3,187.24,189.37,2026600
2000-02-18,VRSN,193.29,205.49,192.76,201.35,2723400
2000-02-22,VRSN,198.91,199.66,184.69,189.89,2061300
2000-02-23,VRSN,190.16,206.77,190.1,206.03,2377300
2000-02-24,VRSN,208.79,214.09,199.44,213.35,2414900
2000-02-25,VRSN,211.7,219.51,202.95,203.69,1465300
2000-02-28,VRSN,205.49,212.18,194.99,208.94,2007700
2000-02-29,VRSN,211.12,217.38,208.04,214.84,1890100
2000-03-01,VRSN,214.41,219.51,206.24,213.24,1812000
2000-03-02,VRSN,215.79,215.9,199.82,208.63,1397900
2000-03-03,VRSN,213.14,213.14,207.62,211.01,1687300
2000-03-06,VRSN,211.07,216.53,206.45,210.11,1942600
2000-03-07,VRSN,188.94,191.91,165.16,169.83,13775100
2000-03-08,VRSN,178.06,179.6,155.39,172.38,9970200
2000-03-09,VRSN,175.67,211.01,170.25,204.43,10494200
2000-03-10,VRSN,197.43,208.89,196.57,203.74,4789400
2000-03-13,VRSN,190.21,206.34,188.51,192.86,2275100
2000-03-14,VRSN,197.22,199.98,175.46,184.8,2859800
2000-03-15,VRSN,186.6,186.6,162.82,165.37,4939800
2000-03-16,VRSN,167.6,181.72,152.0,170.04,5855400
2000-03-17,VRSN,171.69,173.86,166.33,171.63,2124400
2000-03-20,VRSN,173.65,173.65,153.11,157.25,2777300
2000-03-21,VRSN,157.78,159.75,147.33,151.22,3069300
2000-03-22,VRSN,155.41,162.19,152.42,154.6,4249700
2000-03-23,VRSN,154.39,154.65,145.63,149.03,4025300
2000-03-24,VRSN,150.09,171.53,148.6,162.08,5895700
2000-03-27,VRSN,168.24,172.38,158.37,160.7,4048500
2000-03-28,VRSN,163.41,167.71,159.0,159.22,2535700
2000-03-29,VRSN,161.34,161.98,142.23,143.72,4076500
2000-03-30,VRSN,139.15,144.36,126.15,129.07,4665000
2000-03-31,VRSN,135.97,137.56,119.73,126.95,3593200
2000-04-03,VRSN,125.46,126.1,94.26,99.03,4585300
2000-04-04,VRSN,105.72,105.93,79.82,101.9,8360100
2000-04-05,VRSN,99.14,121.64,95.95,110.71,5878100
2000-04-06,VRSN,117.18,134.59,117.18,131.84,5886000
2000-04-07,VRSN,136.5,150.99,135.02,149.88,4716600
2000-04-10,VRSN,149.77,152.42,128.27,129.65,6570500
2000-04-11,VRSN,123.34,135.86,116.02,124.61,6287800
2000-04-12,VRSN,122.7,128.33,112.09,113.04,3503000
2000-04-13,VRSN,113.57,114.64,95.21,97.39,7073900
2000-04-14,VRSN,92.56,98.93,77.27,83.04,7819700
2000-04-17,VRSN,78.76,95.1,78.02,94.04,6430600
2000-04-18,VRSN,97.39,119.52,96.8,118.46,6093600
2000-04-19,VRSN,119.31,119.36,108.05,111.17,5059700
2000-04-20,VRSN,105.83,106.14,91.71,100.62,5366800
2000-04-24,VRSN,91.71,92.98,77.27,84.38,7444400
2000-04-25,VRSN,89.37,95.0,86.03,94.26,5103900
2000-04-26,VRSN,97.65,102.69,90.43,90.89,4858800
2000-04-27,VRSN,86.61,109.54,86.45,107.25,6605800
2000-04-28,VRSN,112.3,119.41,111.66,118.35,4463400
2000-05-01,VRSN,122.28,124.83,113.79,115.48,3818500
2000-05-02,VRSN,111.77,120.15,106.67,107.42,2407800
2000-05-03,VRSN,106.13,109.22,99.78,109.1,3639300
2000-05-04,VRSN,110.18,112.72,103.38,110.23,2324800
2000-05-05,VRSN,109.12,118.46,108.27,117.61,3178900
2000-05-08,VRSN,118.72,121.43,111.24,112.14,2985900
2000-05-09,VRSN,112.41,113.36,104.87,110.23,2713300
2000-05-10,VRSN,105.77,108.69,99.78,102.75,2996200
2000-05-11,VRSN,105.45,105.83,96.8,99.14,5133400
2000-05-12,VRSN,102.38,105.29,98.93,99.56,2943800
2000-05-15,VRSN,100.89,111.88,96.43,110.23,2533200
2000-05-16,VRSN,113.52,118.88,111.29,118.51,2970100
2000-05-17,VRSN,114.26,117.61,110.6,112.99,2163800
2000-05-18,VRSN,113.95,115.48,110.71,110.81,1842300
2000-05-19,VRSN,107.68,112.14,104.02,106.14,2451500
2000-05-22,VRSN,105.45,105.88,95.95,100.09,3265700
2000-05-23,VRSN,100.15,105.03,91.5,91.71,3399600
2000-05-24,VRSN,91.5,101.05,84.49,99.62,4297400
2000-05-25,VRSN,100.92,114.42,100.78,103.7,5592000
2000-05-26,VRSN,104.45,105.24,96.83,102.63,2549300
2000-05-30,VRSN,106.04,114.74,105.93,114.64,3973500
2000-05-31,VRSN,112.51,120.59,110.18,114.95,4118400
2000-06-01,VRSN,118.14,132.68,117.61,131.25,6354600
2000-06-02,VRSN,138.04,155.39,137.67,154.86,7127300
2000-06-05,VRSN,151.52,156.24,147.75,150.88,4309400
2000-06-06,VRSN,154.12,154.55,145.2,145.24,3117200
2000-06-07,VRSN,142.76,162.19,140.85,162.03,4522700
2000-06-08,VRSN,163.09,170.25,154.28,166.75,9092200
2000-06-09,VRSN,163.51,167.34,154.33,166.43,4188400
2000-06-12,VRSN,164.79,165.0,146.05,146.85,5477400
2000-06-13,VRSN,145.89,146.8,132.68,141.86,7976600
2000-06-14,VRSN,142.98,151.04,137.56,141.07,5623600
2000-06-15,VRSN,141.07,152.21,137.03,146.43,6221200
2000-06-16,VRSN,151.79,152.53,139.69,139.74,3436300
2000-06-19,VRSN,139.74,150.19,134.59,147.33,4553600
2000-06-20,VRSN,146.82,155.39,145.74,149.13,4967600
2000-06-21,VRSN,146.8,146.8,140.53,142.55,4605700
2000-06-22,VRSN,144.26,148.44,136.41,136.71,4299200
2000-06-23,VRSN,136.5,140.11,126.21,126.74,4860000
2000-06-26,VRSN,129.5,138.41,127.0,137.51,5545500
2000-06-27,VRSN,134.43,136.18,131.19,133.26,2327200
2000-06-28,VRSN,134.17,146.05,133.48,145.84,8311400
2000-06-29,VRSN,141.38,151.89,141.17,149.08,5874800
2000-06-30,VRSN,151.57,152.63,144.36,149.88,4021400
2000-07-03,VRSN,148.6,157.52,146.16,155.71,1997500
2000-07-05,VRSN,148.65,152.85,140.96,141.38,5029400
2000-07-06,VRSN,143.35,149.64,140.22,149.03,4223300
2000-07-07,VRSN,149.88,152.48,145.31,146.8,4097400
2000-07-10,VRSN,146.05,150.3,142.82,146.85,2144600
2000-07-11,VRSN,145.63,149.24,140.11,140.96,2485400
2000-07-12,VRSN,144.46,153.68,143.72,150.88,3635600
2000-07-13,VRSN,154.07,164.42,153.7,163.78,5045500
2000-07-14,VRSN,163.99,164.2,157.52,163.04,3108400
2000-07-17,VRSN,162.24,165.58,157.25,158.84,3044400
2000-07-18,VRSN,155.55,156.77,151.2,152.1,2269400
2000-07-19,VRSN,150.3,150.46,144.46,146.05,2951900
2000-07-20,VRSN,150.25,159.22,149.13,158.37,3086700
2000-07-21,VRSN,156.67,157.94,150.62,153.22,2217400
2000-07-24,VRSN,156.08,158.79,153.48,156.77,3482700
2000-07-25,VRSN,158.18,159.64,146.58,154.44,4285000
2000-07-26,VRSN,151.84,154.55,146.27,152.16,2717800
2000-07-27,VRSN,151.15,155.61,144.09,149.13,3121500
2000-07-28,VRSN,149.45,149.88,134.38,136.5,3505100
2000-07-31,VRSN,135.17,138.84,127.8,134.75,3795900
2000-08-01,VRSN,133.74,134.59,127.85,128.43,2922200
2000-08-02,VRSN,129.18,130.29,120.84,121.8,5240000
2000-08-03,VRSN,116.76,138.41,115.8,137.72,7568400
2000-08-04,VRSN,136.45,139.15,132.79,137.62,4672600
2000-08-07,VRSN,137.14,138.15,130.77,131.03,2963900
2000-08-08,VRSN,132.04,135.65,125.3,125.67,3780900
2000-08-09,VRSN,130.19,131.57,123.55,123.76,4255600
2000-08-10,VRSN,124.19,126.52,120.79,121.0,2584900
2000-08-11,VRSN,121.27,124.08,116.97,119.15,2932900
2000-08-14,VRSN,120.63,127.05,118.46,124.83,3588500
2000-08-15,VRSN,125.2,134.48,124.51,130.93,4269900
2000-08-16,VRSN,132.15,136.18,128.27,131.72,3538000
2000-08-17,VRSN,130.03,134.06,127.8,133.53,2571700
2000-08-18,VRSN,133.0,137.72,132.47,135.65,2928400
2000-08-21,VRSN,140.64,143.93,137.56,138.15,3751700
2000-08-22,VRSN,139.9,145.84,138.62,141.12,4288800
2000-08-23,VRSN,139.53,148.65,139.47,147.86,2590800
2000-08-24,VRSN,148.87,152.79,148.28,151.52,2978500
2000-08-25,VRSN,149.98,152.42,146.85,149.77,2280800
2000-08-28,VRSN,150.3,156.24,150.25,154.01,2709500
2000-08-29,VRSN,155.18,160.7,152.48,159.22,3212300
2000-08-30,VRSN,160.17,167.39,159.27,164.52,4137500
2000-08-31,VRSN,166.96,169.51,165.58,168.87,4500800
2000-09-01,VRSN,169.62,169.72,154.86,157.89,8741900
2000-09-05,VRSN,157.36,157.46,149.56,153.96,5706000
2000-09-06,VRSN,154.01,154.17,141.17,144.51,6386800
2000-09-07,VRSN,145.42,152.63,141.38,151.73,4833900
2000-09-08,VRSN,148.71,150.3,143.08,145.95,4621900
2000-09-11,VRSN,144.3,151.57,141.28,145.84,3692800
2000-09-12,VRSN,147.12,147.96,139.47,141.18,3359300
2000-09-13,VRSN,139.26,148.6,135.86,146.9,4917600
2000-09-14,VRSN,151.1,153.06,146.27,149.19,3923900
2000-09-15,VRSN,149.66,154.55,146.48,153.32,5495600
2000-09-18,VRSN,151.52,155.82,146.9,152.73,4253100
2000-09-19,VRSN,154.44,160.97,153.27,159.8,3001700
2000-09-20,VRSN,160.12,165.8,157.52,164.74,3935400
2000-09-21,VRSN,162.93,166.86,160.22,162.35,3230200
2000-09-22,VRSN,155.45,168.13,155.45,165.48,4219000
2000-09-25,VRSN,166.7,168.98,161.76,163.2,3832500
2000-09-26,VRSN,162.4,165.48,157.94,158.42,2828900
2000-09-27,VRSN,161.6,169.41,161.55,165.11,6074700
2000-09-28,VRSN,164.47,177.95,164.2,176.94,9321700
2000-09-29,VRSN,178.0,182.04,170.25,172.01,4859600
2000-10-02,VRSN,175.46,176.52,161.71,162.93,4851000
2000-10-03,VRSN,166.06,168.77,152.74,152.85,4125300
2000-10-04,VRSN,149.72,157.09,143.56,155.87,5544900
2000-10-05,VRSN,153.8,166.43,153.59,164.15,5874500
2000-10-06,VRSN,161.29,164.07,153.29,159.69,3638200
2000-10-09,VRSN,158.63,167.07,148.23,158.53,3621900
2000-10-10,VRSN,162.82,163.99,147.75,150.62,5795200
2000-10-11,VRSN,145.74,147.27,133.21,133.85,8913900
2000-10-12,VRSN,138.52,138.52,118.88,125.25,10309300
2000-10-13,VRSN,123.87,138.41,123.87,137.56,6783700
2000-10-16,VRSN,136.77,143.72,133.95,140.22,4710500
2000-10-17,VRSN,144.57,150.3,132.79,134.48,6830700
2000-10-18,VRSN,126.63,135.44,122.7,130.34,5982700
2000-10-19,VRSN,137.14,143.08,132.36,141.69,4793300
2000-10-20,VRSN,143.29,152.0,140.96,150.57,4121900
2000-10-23,VRSN,149.24,154.86,146.58,149.98,3704600
2000-10-24,VRSN,154.7,159.06,142.92,142.92,5025500
2000-10-25,VRSN,141.38,144.73,124.67,125.2,5932600
2000-10-26,VRSN,118.83,123.13,101.9,120.84,20034900
2000-10-27,VRSN,123.13,126.95,104.02,108.11,9165500
2000-10-30,VRSN,108.69,112.09,98.34,99.3,7905300
