date,ticker,open,high,low,close,volume
2000-01-03,WDC,3.99,3.99,3.69,3.69,2461900
2000-01-04,WDC,3.69,4.69,3.63,4.4,7660300
2000-01-05,WDC,4.46,4.46,3.87,4.1,3944600
2000-01-06,WDC,4.22,4.4,4.05,4.28,2468400
2000-01-07,WDC,4.34,5.28,4.34,5.28,9783000
2000-01-10,WDC,5.16,5.22,4.69,4.69,4961300
2000-01-11,WDC,4.57,4.92,4.22,4.69,4393600
2000-01-12,WDC,4.63,4.69,3.75,4.28,3791800
2000-01-13,WDC,4.46,4.57,3.99,4.05,2919000
2000-01-14,WDC,4.1,4.46,4.05,4.22,2952200
2000-01-18,WDC,4.57,4.92,4.28,4.81,4523500
2000-01-19,WDC,4.75,6.27,4.69,6.27,7651500
2000-01-20,WDC,5.98,5.98,4.98,5.22,8872700
2000-01-21,WDC,5.16,5.22,4.69,4.81,3447300
2000-01-24,WDC,4.98,5.04,4.46,4.46,3333300
2000-01-25,WDC,4.57,5.16,4.46,5.16,3379800
2000-01-26,WDC,4.92,5.39,4.63,5.39,2750500
2000-01-27,WDC,4.81,5.04,4.34,4.34,3692800
2000-01-28,WDC,4.46,4.81,4.4,4.69,2153600
2000-01-31,WDC,4.63,4.63,4.34,4.46,1273400
2000-02-01,WDC,4.46,4.51,4.28,4.4,1669000
2000-02-02,WDC,4.34,4.46,4.28,4.46,1297000
2000-02-03,WDC,4.4,4.87,4.34,4.75,3049900
2000-02-04,WDC,4.87,4.92,4.57,4.75,2031000
2000-02-07,WDC,4.75,5.16,4.69,4.92,2992100
2000-02-08,WDC,4.92,5.22,4.69,4.81,3046000
2000-02-09,WDC,4.81,4.87,4.57,4.69,1744700
2000-02-10,WDC,4.69,4.69,4.46,4.51,2456600
2000-02-11,WDC,4.51,4.63,3.99,4.63,2678600
2000-02-14,WDC,4.4,4.46,4.34,4.4,1473100
2000-02-15,WDC,4.34,4.4,4.22,4.22,1696700
2000-02-16,WDC,4.34,4.34,4.22,4.22,1352600
2000-02-17,WDC,4.28,4.4,4.22,4.22,1742400
2000-02-18,WDC,4.28,4.28,4.05,4.05,1762300
2000-02-22,WDC,4.05,4.22,3.99,3.99,1633300
2000-02-23,WDC,4.05,4.05,3.87,4.05,1791000
2000-02-24,WDC,3.93,4.1,3.93,3.99,1769100
2000-02-25,WDC,3.87,3.99,3.69,3.69,2750700
2000-02-28,WDC,3.75,3.87,3.69,3.69,1907300
2000-02-29,WDC,3.81,4.46,3.81,4.22,3057800
2000-03-01,WDC,4.22,4.4,4.05,4.4,2455600
2000-03-02,WDC,4.28,4.46,4.22,4.46,2013300
